frequency_hz,viscosity_mpa_s,backpressure_pa,swept_volume_ml_cycle,net_flow_ml_min,sample_amount_30s_ml,outlet_min_ml_min,outlet_max_ml_min,chamber_pressure_half_range_pa,peak_reynolds_number,hydraulic_input_power_mw,pressure_residual_pa,points_per_cycle,settling_cycles,trial,swept_volume_factor,loss_factor
1.0,4.212968154415768,0.0,2.6683349718011296,20.669806477541794,10.334903238770897,-226.31566670299932,267.78585535351726,3.0436607382485317,49.780168254197505,0.0013684463324457035,1.7763568394002505e-15,160,45,32,1.04622644641951,0.9713211678404703
1.0,4.669516742265258,0.0,2.6905973244996324,20.170407127896592,10.085203563948296,-228.87493208768322,269.3661086562825,3.0710079955145213,45.17882688929323,0.001514063780844344,2.220446049250313e-15,160,45,33,1.054955283840162,1.0074270159230976
1.0,5.693390159963246,0.0,2.59075242992738,19.0415498121901,9.52077490609505,-220.75710654039918,259.04104556332305,2.9623260434652106,35.62904785507405,0.001673666345064032,2.220446049250313e-15,160,45,34,1.0158071370199944,1.2137551389278947
1.0,4.267578424836328,0.0,2.62382114895052,20.93370697539385,10.466853487696925,-221.92960460460014,263.93505721644095,2.993163110697279,48.431800662807376,0.0013507905297656514,1.7763568394002505e-15,160,45,35,1.028773038511692,1.042515661668954
1.0,5.457650917744266,0.0,2.592358066863383,16.120010649286858,8.060005324643429,-223.8387173238356,256.220591013134,2.9624054414115326,36.78202148520435,0.0015373699880493863,1.7763568394002505e-15,160,45,36,1.0164366905968683,0.9224365278383146
1.0,5.361712772237982,0.0,2.421943404045027,13.617175598527238,6.808587799263618,-210.57133141309225,237.9147931043408,2.766968497755908,34.77434409535387,0.0012839032090758084,1.7763568394002505e-15,160,45,37,0.9496188701273938,0.8440455669716953
1.0,6.309941985151825,0.0,2.6415533777391915,13.405946526718251,6.702973263359125,-231.1155080976299,258.0678927670043,3.023881364984773,32.053665494756636,0.001752784474195032,1.7763568394002505e-15,160,45,38,1.0357256613677899,0.7927687912147158
1.0,5.112696267678838,0.0,2.3768888233844683,15.578087609788376,7.789043804894188,-204.43415837442117,235.71400629710516,2.7144669207640777,36.1188050682077,0.001225548486630604,1.7763568394002505e-15,160,45,39,0.9319534366950987,1.0112474226692443
1.0,4.9346627973253225,0.0,2.6899012430532596,21.614198530905444,10.807099265452722,-227.36039759476748,270.77652606326296,3.0715034908532566,42.9638158929842,0.0016305792504033821,1.7763568394002505e-15,160,45,40,1.0546823575300273,1.174581639827318
1.0,3.896107166404101,0.0,2.7815400948914477,22.185287914262904,11.092643957131452,-235.2791716561351,279.77507832052396,3.1714138667808305,56.23651137756034,0.0014039840746780995,2.220446049250313e-15,160,45,41,1.0906130001689145,0.9125688841912754
